owner_id,title,location,price/guests,total_price/USD,cleaning_fee,service_fee,only_price,reviews,superhost,guests,bedrooms,beds,bathrooms,thismonth_bookings,nextmonth_bookings,date,datetime,accuracy,communication,cleanliness,locationq,checkin,value,url
35284549,Habitación servicios+desayuno+paseo incluidos,Cayambe,63.0,126,0,11,95,Hosted by Michael,0,2,2,1,1,,,2019-06-23,2019-06-23 13:36:36,,,,,,,https://www.airbnb.com/rooms/35284549?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314983_xX6HH356YWgpF6%2Fj
23202259,Papaya Room @ Mango House,Ayampe,285.0,570,0,49,429,13,1,2,2,1,1,,,2019-06-23,2019-06-23 13:36:51,5.0,5.0,5.0,4.5,5.0,,https://www.airbnb.com/rooms/23202259?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315007_3LOU1lefJsI3HVyB
7076117,Apartamento Centro de Latacunga,Latacunga,256.5,513,0,44,387,34,1,2,2,1,1,,,2019-06-23,2019-06-23 13:36:56,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/7076117?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315012_Oc9ngHLUlpGIht2d
34896599,Departamento acogedor en área segura cuenca,Cuenca,232.33,697,0,60,525,Hosted by Alejandro/Manny,0,3,3,1,1,,,2019-06-23,2019-06-23 13:37:10,,,,,,,https://www.airbnb.com/rooms/34896599?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315017_%2BiucUaHaSoHKAIlt
31462801,Linda suite con vista al mar en Libertador Bolivar,Simón Bolívar,155.33,466,0,40,351,2,1,3,3,2,1,,,2019-06-23,2019-06-23 13:37:25,,,,,,,https://www.airbnb.com/rooms/31462801?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315042_x7q0zWGsDhD10Jxj
33466931,"NEW SUITE!! With queen bed, tv and wifi",Guayaquil,407.0,814,0,70,613,2,1,2,2,1,1,,,2019-06-23,2019-06-23 13:37:39,,,,,,,https://www.airbnb.com/rooms/33466931?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315056_DDjNbMHEG2peceVx
32990443,Suite impecable con 2 camas en sector muy centrico,Guayaquil,321.0,642,0,55,484,3,1,2,2,2,1,,,2019-06-23,2019-06-23 13:37:53,5.0,5.0,4.5,4.5,4.5,,https://www.airbnb.com/rooms/32990443?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315070_1bX45UP0vbJzQbJZ
23559965,BEST VIEW + STEPS FROM THE BEACH,Puerto López,278.5,557,0,48,420,2,0,2,2,2,2,,,2019-06-23,2019-06-23 13:38:07,,,,,,,https://www.airbnb.com/rooms/23559965?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315074_CsC%2B5lAmvb70uQOE
25799468,Mini-Departamento2 ideal para una Pareja,Baños de Agua Santa,355.0,710,0,61,535,9,1,2,2,1,1,,,2019-06-23,2019-06-23 13:38:21,5.0,5.0,5.0,4.5,5.0,,https://www.airbnb.com/rooms/25799468?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315098_3pWzc0dNtkCom5OP
24578282,Habitación para profesionales y estudiantes,Ambato,210.0,210,0,18,158,2,0,1,1,1,1,,,2019-06-23,2019-06-23 13:38:35,,,,,,,https://www.airbnb.com/rooms/24578282?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315102_POLyiWmBzzsx0vCR
23714264,The Loft @ the Mango House,Ayampe,364.5,729,0,63,550,16,1,2,2,1,1,,,2019-06-23,2019-06-23 13:38:49,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/23714264?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315126_b2vovr1FHE3O5mQ8
35970488,"Alojamiento (Independiente, con baño y A/C)",Guayaquil,437.0,874,0,75,659,Hosted by Daili & Emilio,0,2,2,1,1,,,2019-06-23,2019-06-23 13:39:03,,,,,,,https://www.airbnb.com/rooms/35970488?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315130_fPW3dOcR7JMskXSp
33859605,Habitación privada con baño. Casa amplia y cómoda,Playas,133.5,267,0,23,201,3,0,2,2,1,1,,,2019-06-23,2019-06-23 13:39:27,5.0,5.0,4.5,5.0,5.0,,https://www.airbnb.com/rooms/33859605?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315154_KKt%2BC%2BsROivTX06X
35838990,Villa Andrea,Tabacundo,377.67,1133,0,97,854,Hosted by Andrea,0,3,3,2,1,,,2019-06-23,2019-06-23 13:39:42,,,,,,,https://www.airbnb.com/rooms/35838990?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315168_r88OJ2HpH4wyw4l8
33838259,Casa del horno,Riobamba,87.6,438,0,38,330,1,0,5,5,2,2,,,2019-06-23,2019-06-23 13:40:07,,,,,,,https://www.airbnb.com/rooms/33838259?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315193_1n24COvOD29IcCBs
35342894,Suites Urdesa Norte,Guayaquil,319.0,638,0,55,481,Hosted by Francisco,0,2,2,1,1,,,2019-06-23,2019-06-23 13:40:31,,,,,,,https://www.airbnb.com/rooms/35342894?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315218_Zul9D9EZoG0hsp1o
35799706,Por estrenar moderno departamento,Quito,276.0,552,0,47,416,Hosted by Fausto,0,2,2,1,1,,,2019-06-23,2019-06-23 13:40:55,,,,,,,https://www.airbnb.com/rooms/35799706?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315242_p7ohj5cb07Wu3zUg
22624952,Central Smart/ Private Department,Baños de Agua Santa,82.4,412,0,35,311,5,0,5,5,4,1,,,2019-06-23,2019-06-23 13:41:19,4.5,5.0,4.5,5.0,4.5,,https://www.airbnb.com/rooms/22624952?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315266_1oz9LGnhigmc2iGW
34888808,Cabañas de Amy Rincon de Vida,San Miguel de los Bancos,72.25,289,0,25,218,1,0,4,4,3,1,,,2019-06-23,2019-06-23 13:41:34,,,,,,,https://www.airbnb.com/rooms/34888808?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315280_o10IRgeS0x9SUUWm
33232114,Vista hermosa,Guaranda,289.0,289,0,25,218,Hosted by Diana,0,1,1,1,1,,,2019-06-23,2019-06-23 13:41:58,,,,,,,https://www.airbnb.com/rooms/33232114?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315305_Bv%2FKPjKyx56Mmz92
19529837,RIOBAMBA DEPARTAMENTO,Riobamba,267.0,1068,0,92,805,Hosted by Simone,0,4,4,2,2,,,2019-06-23,2019-06-23 13:42:22,,,,,,,https://www.airbnb.com/rooms/19529837?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315329_jRKo6K2NoX%2FRV9Rw
33658454,Departamento para una persona o pareja,Riobamba,202.0,202,0,17,153,Hosted by Milton,0,1,1,1,1,,,2019-06-23,2019-06-23 13:42:46,,,,,,,https://www.airbnb.com/rooms/33658454?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315353_QSZwMFzjlj3MXxeY
35420031,Hotel Lagoon,Chucchilán,18.12,290,0,25,218,Hosted by Luis Eduardo,0,16,16,16,8,,,2019-06-23,2019-06-23 13:43:10,,,,,,,https://www.airbnb.com/rooms/35420031?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315377_bkXxXi0uK%2FjAJKOr
32253710,Estancia SANGIL,Cayambe,303.5,607,0,52,458,4,0,2,2,1,1,,,2019-06-23,2019-06-23 13:43:34,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/32253710?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315402_4Wftq9D2yNEx00RK
35540397,Casa Curiquingue habitación privada,Cuenca,94.0,188,0,16,142,Hosted by Janeth,0,2,2,1,1,,,2019-06-23,2019-06-23 13:43:48,,,,,,,https://www.airbnb.com/rooms/35540397?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315415_xXA99szo%2FmdCUdOS
23681216,Ocean View Suite Rental at Samai Lodge,Santa Elena Province,406.5,813,0,70,612,2,0,2,2,1,1,,,2019-06-23,2019-06-23 13:44:12,,,,,,,https://www.airbnb.com/rooms/23681216?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315439_9yHsRuLumnAefecO
